Cidade,2014,2015,2016,2017,2018,2019,2020,2021
Vargem Bonita (SC),4713,4674,4635,4597,4534,4492,4451,4411
Vidal Ramos (SC),6372,6366,6361,6356,6347,6338,6329,6321
Videira (SC),50349,50926,51499,52066,52510,53065,53610,54145
Vitor Meireles (SC),5156,5123,5089,5056,5014,4979,4943,4907
Witmarsum (SC),3805,3841,3876,3912,3932,3965,3998,4032
Xanxerê (SC),47679,48370,49057,49738,50309,50982,51642,52290
Xavantina (SC),4095,4067,4039,4012,3963,3933,3903,3873
Xaxim (SC),27336,27630,27921,28210,28424,28706,28983,29254
Zortéa (SC),3190,3227,3264,3300,3328,3363,3398,3432
Balneário Rincão (SC),11824,12018,12212,12403,12570,12760,12946,13129
