COD_IBGE,Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
421520,Romelândia (SC),5421,5320,5220,5120,5022,4890,4786,4684,4584
421530,Salete (SC),7553,7573,7594,7614,7634,7626,7642,7659,7674
421535,Saltinho (SC),3948,3923,3897,3872,3847,3808,3781,3754,3727
421540,Salto Veloso (SC),4495,4536,4576,4616,4655,4680,4718,4756,4792
421545,Sangão (SC),11294,11532,11767,12001,12233,12446,12678,12905,13128
421550,Santa Cecília (SC),16315,16413,16510,16606,16701,16741,16830,16918,17004
421555,Santa Helena (SC),2354,2331,2309,2288,2266,2247,2223,2200,2178
421560,Santa Rosa de Lima (SC),2116,2122,2128,2133,2139,2137,2142,2147,2151
421565,Santa Rosa do Sul (SC),8261,8285,8309,8333,8356,8338,8358,8378,8397
421567,Santa Terezinha (SC),8883,8873,8864,8855,8846,8801,8787,8773,8760
421568,Santa Terezinha do Progresso (SC),2776,2720,2666,2611,2557,2484,2428,2372,2317
421569,Santiago do Sul (SC),1414,1389,1365,1341,1317,1286,1260,1235,1211
421570,Santo Amaro da Imperatriz (SC),21221,21572,21920,22266,22609,22905,23245,23579,23907
421575,São Bernardino (SC),2641,2593,2545,2496,2449,2386,2336,2287,2239
421580,São Bento do Sul (SC),78998,79971,80936,81893,82842,83576,84507,85421,86317
421590,São Bonifácio (SC),2989,2966,2944,2922,2899,2862,2838,2814,2791
421600,São Carlos (SC),10753,10849,10944,11038,11132,11191,11281,11369,11456
421605,São Cristóvão do Sul (SC),5255,5308,5360,5412,5464,5499,5549,5598,5646
421610,São Domingos (SC),9530,9523,9516,9509,9502,9457,9445,9434,9422
421620,São Francisco do Sul (SC),46477,47547,48606,49658,50701,51677,52721,53746,54751
421625,São João do Oeste (SC),6211,6235,6260,6285,6309,6359,6381,6402,6423
421630,São João Batista (SC),30337,31534,32720,33897,35065,36244,37424,38583,39719
421635,São João do Itaperiú (SC),3578,3606,3634,3662,3690,3707,3733,3759,3784
421640,São João do Sul (SC),7183,7205,7226,7247,7268,7280,7297,7315,7332
421650,São Joaquim (SC),25841,26045,26247,26447,26646,26763,26952,27139,27322
421660,São José (SC),224779,228561,232309,236029,239718,242927,246586,250181,253705
421670,São José do Cedro (SC),13904,13902,13901,13899,13897,13838,13829,13820,13811
421680,São José do Cerrito (SC),9061,8941,8823,8705,8588,8421,8295,8173,8054
421690,São Lourenço do Oeste (SC),22786,23017,23245,23473,23698,23857,24076,24291,24501
421700,São Ludgero (SC),11940,12192,12441,12688,12934,13165,13410,13650,13886
421710,São Martinho (SC),3239,3232,3224,3217,3210,3189,3180,3171,3162
421715,São Miguel da Boa Vista (SC),1897,1885,1872,1860,1848,1833,1820,1807,1794
421720,São Miguel do Oeste (SC),38162,38575,38984,39390,39793,40090,40482,40868,41246
421725,São Pedro de Alcântara (SC),5139,5256,5373,5488,5602,5709,5823,5935,6046
421730,Saudades (SC),9382,9454,9524,9594,9664,9679,9745,9810,9874
421740,Schroeder (SC),17538,18186,18827,19463,20095,20728,21365,21991,22605
421750,Seara (SC),17351,17395,17439,17483,17526,17506,17541,17576,17610
421755,Serra Alta (SC),3323,3317,3312,3307,3301,3270,3263,3256,3249
421760,Siderópolis (SC),13499,13593,13686,13778,13870,13920,14007,14092,14176
421770,Sombrio (SC),28209,28589,28966,29340,29710,30010,30374,30733,31084
421775,Sul Brasil (SC),2698,2661,2624,2587,2551,2500,2461,2423,2386
421780,Taió (SC),17856,17959,18060,18161,18261,18302,18395,18486,18576
421790,Tangará (SC),8777,8767,8757,8748,8738,8691,8676,8662,8648
421795,Tigrinhos (SC),1746,1733,1720,1707,1695,1646,1633,1619,1606
421800,Tijucas (SC),33847,34628,35402,36170,36931,37645,38407,39155,39889
421810,Timbé do Sul (SC),5387,5385,5382,5379,5377,5354,5348,5343,5338
421820,Timbó (SC),39740,40515,41283,42045,42801,43484,44238,44977,45703
421825,Timbó Grande (SC),7495,7563,7632,7699,7767,7812,7877,7941,8003
421830,Três Barras (SC),18740,18843,18945,19046,19146,19183,19275,19366,19455
421835,Treviso (SC),3706,3746,3785,3824,3863,3891,3929,3966,4002
421840,Treze de Maio (SC),7036,7052,7067,7082,7098,7070,7081,7093,7104
421850,Treze Tílias (SC),6925,7082,7237,7392,7545,7687,7840,7991,8138
421860,Trombudo Central (SC),6901,6979,7057,7135,7211,7284,7360,7434,7506
421870,Tubarão (SC),101284,102087,102883,103674,104457,104937,105686,106422,107143
421875,Tunápolis (SC),4660,4644,4628,4612,4597,4561,4543,4525,4507
421880,Turvo (SC),12353,12452,12551,12649,12746,12806,12899,12990,13080
421885,União do Oeste (SC),2802,2751,2700,2650,2600,2517,2464,2412,2364
421890,Urubici (SC),11012,11058,11102,11147,11191,11195,11235,11273,11311
421895,Urupema (SC),2507,2502,2497,2492,2487,2472,2465,2459,2453
421900,Urussanga (SC),20826,20915,21003,21090,21177,21190,21268,21344,21419
421910,Vargeão (SC),3590,3590,3590,3590,3590,3575,3573,3571,3569
421915,Vargem (SC),2718,2674,2630,2586,2543,2522,2477,2432,2387
421917,Vargem Bonita (SC),4752,4713,4674,4635,4597,4534,4492,4451,4411
421920,Vidal Ramos (SC),6377,6372,6366,6361,6356,6347,6338,6329,6321
421930,Videira (SC),49768,50349,50926,51499,52066,52510,53065,53610,54145
421935,Vitor Meireles (SC),5190,5156,5123,5089,5056,5014,4979,4943,4907
421940,Witmarsum (SC),3769,3805,3841,3876,3912,3932,3965,3998,4032
421950,Xanxerê (SC),46981,47679,48370,49057,49738,50309,50982,51642,52290
421960,Xavantina (SC),4124,4095,4067,4039,4012,3963,3933,3903,3873
421970,Xaxim (SC),27039,27336,27630,27921,28210,28424,28706,28983,29254
421985,Zortéa (SC),3153,3190,3227,3264,3300,3328,3363,3398,3432
422000,Balneário Rincão (SC),11628,11824,12018,12212,12403,12570,12760,12946,13129
